"sequencehash","timestamptime","sourcehash","experimentalunithash","grouphash"
"e8a475200ba7eca556ecaed01c7fe10d","04/12/2007 14:29:00","403eb92034f2a8776bcac164ffc593f3","b6d63dc5b360d72996be0abca4a52574","cc29c70e724e5b73abe387e6753c9083"
"edc82664c0a8e05ab253fa5dedd4cc59","03/12/2007 15:59:00","8a6a5a808b9ac413b2070f322cff998b","553065962c72a797e3e44ab8e90c8317","0bcf3aa28f1f7909acece88a4c617ec4"
"f0215d7b46f214fa4102b8dfd1011461","04/12/2007 12:25:00","cd0472a5e75401a5481a050179bdd7c4","887b419552d85ea9bdec287aabfaf9e7","f825ae2c041527d924cc88a03224c584"
"f3a0373d381f890d96970facd7dc32dd","03/12/2007 15:48:00","8b50661c0b3da7b028ca7d3c6ebe539b","553065962c72a797e3e44ab8e90c8317","2b17652da27a8a91ad8587a231addbc3"
"f8e4c8ba2faffd2bc82602afe0ae1b9b","03/12/2007 15:38:00","b82b37ec8f57a082570f5429d7c79aa3","553065962c72a797e3e44ab8e90c8317","ce74bc65597006685d188b97def24fa8"
"f9652c7f7a34dd8e19a84d921a454827","03/12/2007 00:57:00","e55460c7bfbd94b4803e6ace6cca9717","c0b290422c3334d3e2880f9b41c77ab1","8edb582791f5f09b0bf2787ed03f26ca"
"f982b5ecadb854013a43be4562620f88","04/12/2007 12:38:00","7aa54518e6a47611c35552c5989d5906","887b419552d85ea9bdec287aabfaf9e7","2dc8549d16c1678cda3eeada194d51b1"
"fd94863cb3a43a4c3a2b1cf25a7947a0","03/12/2007 17:13:00","0e88ea502f01f69add202c983d3a5e79","02a2f9c9ae9afa1e2d90565b11d5b29b","c5ebe27eefbfff18ed81d1a8f582f097"
"ff24f409092c729acd56bd52c44dcd1a","04/12/2007 12:38:00","6c84bff665d426a202768b5f78b1bc13","887b419552d85ea9bdec287aabfaf9e7","e437b3bd394b387ecd1b1b4424bb1f80"
"ff4f220ceb1a1b3504a5b1448acbd30a","03/12/2007 15:38:00","04f0f98ac342523622722bf00afecb1f","553065962c72a797e3e44ab8e90c8317","ed1e76c5b91ff788298a95bf2c9b4e9f"
